,NAPMINV Index
DATE,px_last
1996-12-31,44.4
1997-01-31,43.2
1997-02-28,41.3
1997-03-31,43.5
1997-04-30,41.4
1997-05-31,48.1
1997-06-30,45.2
1997-07-31,45.9
1997-08-31,43
1997-09-30,47.2
1997-10-31,45
1997-11-30,43.8
1997-12-31,46.2
1998-01-31,46.2
1998-02-28,46.2
1998-03-31,46
1998-04-30,46.1
1998-05-31,46
1998-06-30,42
1998-07-31,44.1
1998-08-31,44.8
1998-09-30,43.2
1998-10-31,47.1
1998-11-30,44.5
1998-12-31,42.7
1999-01-31,42.7
1999-02-28,43.5
1999-03-31,43.7
1999-04-30,46.8
1999-05-31,43.6
1999-06-30,44.7
1999-07-31,44.9
1999-08-31,46.2
1999-09-30,43.8
1999-10-31,48
1999-11-30,49.7
1999-12-31,49
2000-01-31,52.8
2000-02-29,44.9
2000-03-31,47.5
2000-04-30,46.1
2000-05-31,46.9
2000-06-30,47
2000-07-31,48.5
2000-08-31,47.1
2000-09-30,45.9
2000-10-31,45.9
2000-11-30,42.8
2000-12-31,40.4
2001-01-31,41.8
2001-02-28,44.2
2001-03-31,43.7
2001-04-30,39.7
2001-05-31,38.2
2001-06-30,39.9
2001-07-31,37.1
2001-08-31,37.6
2001-09-30,38.9
2001-10-31,38.3
2001-11-30,38.9
2001-12-31,37.6
2002-01-31,39.2
2002-02-28,39.7
2002-03-31,41.4
2002-04-30,43
2002-05-31,43.8
2002-06-30,43.2
2002-07-31,42.7
2002-08-31,45.4
2002-09-30,43.8
2002-10-31,42
2002-11-30,43.1
2002-12-31,45.2
2003-01-31,44.2
2003-02-28,43
2003-03-31,42.3
2003-04-30,43.1
2003-05-31,45.7
2003-06-30,42
2003-07-31,46.3
2003-08-31,43.1
2003-09-30,43.4
2003-10-31,45.6
2003-11-30,49.7
2003-12-31,45.9
2004-01-31,47.9
2004-02-29,49
2004-03-31,48
2004-04-30,45.2
2004-05-31,48.8
2004-06-30,51.3
2004-07-31,50.8
2004-08-31,52.1
2004-09-30,51.6
2004-10-31,49.3
2004-11-30,49.7
2004-12-31,52.8
2005-01-31,53.5
2005-02-28,51
2005-03-31,55
2005-04-30,48.5
2005-05-31,48.5
2005-06-30,48
2005-07-31,45.5
2005-08-31,47
2005-09-30,49.5
2005-10-31,46.5
2005-11-30,47
2005-12-31,46.5
2006-01-31,47.5
2006-02-28,52
2006-03-31,50
2006-04-30,51.5
2006-05-31,48.5
2006-06-30,47.5
2006-07-31,48
2006-08-31,51
2006-09-30,47
2006-10-31,47.5
2006-11-30,47.5
2006-12-31,47.5
2007-01-31,40.5
2007-02-28,49.4
2007-03-31,48.8
2007-04-30,46.5
2007-05-31,47.6
2007-06-30,47.5
2007-07-31,46.8
2007-08-31,48.1
2007-09-30,44.7
2007-10-31,50.6
2007-11-30,46.3
2007-12-31,44.1
2008-01-31,51.3
2008-02-29,45.9
2008-03-31,45.8
2008-04-30,48.3
2008-05-31,47
2008-06-30,49.2
2008-07-31,43.3
2008-08-31,48.7
2008-09-30,44.4
2008-10-31,42.7
2008-11-30,39
2008-12-31,38.9
2009-01-31,39.8
2009-02-28,37.7
2009-03-31,34.4
2009-04-30,36.1
2009-05-31,34.5
2009-06-30,33.5
2009-07-31,34.2
2009-08-31,38.6
2009-09-30,41.6
2009-10-31,51.7
2009-11-30,41
2009-12-31,43.8
2010-01-31,46.3
2010-02-28,50.2
2010-03-31,56.8
2010-04-30,49.9
2010-05-31,47.8
2010-06-30,47.3
2010-07-31,49.8
2010-08-31,52.8
2010-09-30,56.4
2010-10-31,56.1
2010-11-30,53.4
2010-12-31,49.7
2011-01-31,49.8
2011-02-28,47.4
2011-03-31,48.3
2011-04-30,50.9
2011-05-31,49.9
2011-06-30,51.7
2011-07-31,46.9
2011-08-31,53.9
2011-09-30,53.5
2011-10-31,48.4
2011-11-30,45
2011-12-31,45
2012-01-31,49.7
2012-02-29,49.4
2012-03-31,48.8
2012-04-30,49.7
2012-05-31,47.2
2012-06-30,42.3
2012-07-31,49.3
2012-08-31,52.1
2012-09-30,49.6
2012-10-31,50.1
2012-11-30,48.1
2012-12-31,47.5
2013-01-31,50.4
2013-02-28,50.1
2013-03-31,48.8
2013-04-30,46.2
2013-05-31,48.7
2013-06-30,48.9
2013-07-31,47.6
2013-08-31,47.9
2013-09-30,49
2013-10-31,52.4
2013-11-30,53.9
2013-12-31,52.2
2014-01-31,43.9
2014-02-28,50.7
2014-03-31,52.6
2014-04-30,53.2
2014-05-31,53
2014-06-30,52.3
2014-07-31,49.8
2014-08-31,50.9
2014-09-30,51.1
2014-10-31,52.7
2014-11-30,52.2
2014-12-31,48.5
2015-01-31,50.1
2015-02-28,49.9
2015-03-31,50.3
2015-04-30,49.7
2015-05-31,51.6
2015-06-30,52.1
2015-07-31,50.6
2015-08-31,47.8
2015-09-30,48.7
2015-10-31,46.6
2015-11-30,45.7
2015-12-31,49
2016-01-31,44.5
2016-02-29,44.7
2016-03-31,46.8
2016-04-30,45.5
2016-05-31,44.8
2016-06-30,47.9
2016-07-31,50.7
2016-08-31,48.3
2016-09-30,49.5
2016-10-31,48.3
2016-11-30,50.2
2016-12-31,48.7
2017-01-31,49.3
2017-02-28,50.9
2017-03-31,48.4
2017-04-30,51.4
2017-05-31,52.3
2017-06-30,48.7
2017-07-31,49.4
2017-08-31,54.6
2017-09-30,52.3
2017-10-31,48
2017-11-30,48.3
2017-12-31,51
2018-01-31,52.5
2018-02-28,55.2
2018-03-31,54.5
2018-04-30,52.4
2018-05-31,50.3
2018-06-30,50.6
2018-07-31,53.4
2018-08-31,54.3
2018-09-30,53.1
2018-10-31,50.8
2018-11-30,54.4
2018-12-31,53.6
2019-01-31,53
2019-02-28,51.8
2019-03-31,51
2019-04-30,52.3
2019-05-31,51.1
2019-06-30,49.1
2019-07-31,49.6
2019-08-31,48.8
2019-09-30,46.8
2019-10-31,49.1
2019-11-30,46.9
2019-12-31,48.7
2020-01-31,48.9
2020-02-29,46.7
2020-03-31,47.2
2020-04-30,49.5
2020-05-31,50.1
2020-06-30,50.2
2020-07-31,47.2
2020-08-31,44.8
2020-09-30,47.7
2020-10-31,51.6
2020-11-30,50.8
2020-12-31,51
2021-01-31,50.8
2021-02-28,49.7
2021-03-31,50.8
2021-04-30,46.5
2021-05-31,50.8
2021-06-30,51.1
2021-07-31,48.9
2021-08-31,54.2
2021-09-30,55.6
